Altitude(km) sigma_p sigma_h sigma_0 kappa_i kappa_e nu_in nu_en omega_e omega_i
   60.00 -0.00000000000000046777 -0.00000000000000004836 -0.00000000000000047277 0.00006909790497182089 -0.10344989828558726064 3061749.46540000010281801224 59644120.78531704843044281006 6170178.22857432905584573746 211.56047360773260379574
   65.00 0.00000009843273213314 0.00000001994921104057 0.00000010247852562228 0.00013075604762937700 -0.20280459857922070177 1613556.39355999999679625034 30341099.40097719430923461914 6153314.48446741327643394470 210.98225664901710274535
   70.00 0.00000070436453818039 0.00000029540191962795 0.00000082834383672221 0.00026272356159790254 -0.41969680333372366698 800865.63124000001698732376 14621307.01965101808309555054 6136515.81670846603810787201 210.40627100072524058305
   75.00 0.00000187063408694729 0.00000170056345938217 0.00000341832898954717 0.00055955835629171991 -0.91010648486161982440 374996.64198085089446976781 6724248.17900725733488798141 6119781.87353344261646270752 209.83250460171947793242
   80.00 0.00000189882072756156 0.00000385396655661993 0.00000974554719337992 0.00123646531858172628 -2.03600925205677896201 169241.25751532841240987182 2997585.74132849927991628647 6103112.30317830387502908707 209.26094539086253121241
   85.00 0.00000203367653997705 0.00000926051103009569 0.00004476839569068293 0.00277592619615211122 -4.61468854577134024453 75179.07917210798768792301 1318942.00824762857519090176 6086506.57799698039889335632 208.69157527644813399093
   90.00 0.00001088277191566473 0.00010699423505878469 0.00113256349440930587 0.00626167380489435314 -10.48314722224068518130 33237.82022392000362742692 579021.20359710545744746923 6069964.52210745401680469513 208.12438822790767289916
   95.00 0.00002246699554244895 0.00039975506586199593 0.00955200406270166266 0.01421084715621040613 -23.83361528212260793680 14605.70055627999863645528 253989.41318686006707139313 6053485.95962770190089941025 207.55937821467236403805
  100.00 0.00003617374495889838 0.00070445091429506784 0.03885450581001701625 0.03315200222760581600 -55.04382904648755925336 6243.86200639999970007921 109677.51458229804120492190 6037070.36291166022419929504 206.99652714503611150576
  105.00 0.00007227489564957820 0.00082543023356149950 0.10685323653395231713 0.07972667118461905511 -128.54636470836001649332 2589.29447224000023197732 46836.93365998198714805767 6020717.55607730709016323090 206.43582898843021666835
  110.00 0.00016065379848565804 0.00081511405229596208 0.24733891888145034810 0.19354184959403142319 -292.28775026339110354456 1063.73513575999982094800 20542.86231998354196548462 6004427.01147857680916786194 205.87726565314846993715
  115.00 0.00032508785937937842 0.00070336016327234398 0.52592512612411534967 0.46022574647533442960 -616.57654707989956932579 446.13070588000005045615 9712.01184585355986200739 5988198.72911546938121318817 205.32083713919089973388
  120.00 0.00044267623163372655 0.00044027508336732233 1.02074224325951390391 1.00371254469931736608 -1153.90855895287154453399 204.00913233200000718170 5175.48131089461639930960 5972032.18134192470461130142 204.76652535485149542183
  125.00 0.00038569984766558820 0.00020968820858453902 1.71679887312904511099 1.83705475907016224646 -1869.66204562393613741733 111.16397986000001196771 3185.56341790973601746373 5955927.01639389432966709137 204.21431823899268920286
  130.00 0.00029098884401701269 0.00009888261604734747 2.62206028281645631139 2.93925898456874268305 -2747.98874506139873119537 69.29100731200000495846 2161.53841421161405378371 5939883.23427137918770313263 203.66421579161442423356
  135.00 0.00021571161737702138 0.00004925689705417134 3.74930254104251714509 4.37398118554198589436 -3776.58640427898717462085 46.43737256160000015370 1568.58588611512664101610 5923900.13144629541784524918 203.11619389044204808670
  140.00 0.00016315450737651766 0.00002637082310865916 5.12889366518061695643 6.17902009628165860278 -4957.81989981080914731137 32.78355619159999889689 1191.64831061009067525447 5907977.70791864022612571716 202.57025253547539023202
  145.00 0.00012684782213380244 0.00001508928766794725 6.80748664811080583803 8.39512682235509011264 -6303.26999811981750099221 24.06472039559999842595 934.77125582148858029541 5892115.61192437354475259781 202.02637966557713866678
  150.00 0.00010129153553178332 0.00000913947400874264 8.83660913737136688439 11.06704817629149140146 -7819.05460384006437379867 18.20580881280000085098 751.53759494319126588380 5876313.49169944971799850464 201.48456321960981085795
  155.00 0.00008287679231807032 0.00000580950688442726 11.28565085631345787931 14.24425331177564935103 -9513.09856938519988034386 14.10707790280000040184 616.05279843732103017828 5860570.99547982774674892426 200.94479113643600953765
  160.00 0.00006926614482718633 0.00000384598509754249 14.23639799985379106317 17.98148007236550682819 -11395.00918553706469538156 11.14519219487999990292 512.93401140211403799185 5844887.77150146290659904480 200.40705135491828059457
  165.00 0.00005863947227701626 0.00000262035145688773 17.69128953274135085394 22.34130422540781069074 -13476.99690690237730450463 8.94627018452000122295 432.53432942311059150597 5829263.81976435519754886627 199.87134387505662402873
  170.00 0.00005011936259152018 0.00000182691180300094 21.67398432977278233125 27.38621952436293938149 -15769.70121735344946500845 7.27875749436000063497 368.66257213705949880023 5813698.61262244079262018204 199.33765060514491551658
  175.00 0.00004313881717129743 0.00000129732233739468 26.21017069884429773197 33.19179226438149754586 -18288.47950433827281813137 5.98961206736000040252 317.04067016267083545245 5798191.79831167683005332947 198.80595948404572936852
  180.00 0.00003729699116488793 0.00000093442775126293 31.29573813785736646764 39.83866748413282721231 -21049.10157793054531794041 4.97698048236000012423 274.72637515774653138578 5782743.37683206144720315933 198.27627051175903716285
  185.00 0.00003226212251239578 0.00000067907533400108 36.83493900775201979059 47.41526735421323479613 -24068.89012745053696562536 4.17056734320000010996 239.61856113838317128284 5767352.82053753361105918884 197.74856559657879984115
  190.00 0.00002879223009124515 0.00000051292568199493 44.15376793770939656270 56.01839824737005102406 -27366.77922734451931319200 3.52067972092000003315 210.18256864507927161867 5752019.95354606863111257553 197.22283870793620508266
  195.00 0.00002616031813863663 0.00000039700741084673 53.27360385333902570437 65.75381342588430300111 -30963.34607952068836311810 2.99144745432000025431 185.27533843921139578015 5736744.42409362457692623138 196.69907778469385561948
  200.00 0.00002388049534489700 0.00000031051445083837 63.93080036399196330876 76.73700865069696419596 -34880.95452230980299646035 2.55648837784000004802 164.03008343010452563249 5721525.88041615858674049377 196.17727076571435418373
  205.00 0.00002188809138807606 0.00000024511572764143 76.34347357346406681700 89.09369722211495457032 -39143.75241314227605471388 2.19608596064000005654 145.77969588316199178735 5706364.32251366972923278809 195.65741765099761551028
  210.00 0.00002013290059091953 0.00000019507936173449 90.75583595523610824785 102.96089529390405914455 -43777.91084972416138043627 1.89527781194800004627 130.00298808859110977210 5691259.22274009417742490768 195.13950034883760054072
  215.00 0.00001857552172645821 0.00000015639138228007 107.44059021633078998548 118.48752318572974218114 -48811.69460843595152255148 1.64256545833600009487 116.28791933465083729971 5676210.40521341189742088318 194.62351282866561064111
  220.00 0.00001718463002354101 0.00000012619414807105 126.70132744346048525586 135.83529891674490386322 -54275.62806781974359182641 1.42900589594399995974 104.30496559331638195545 5661217.51816957537084817886 194.10944302934407801331
  225.00 0.00001593503141848031 0.00000010242269016398 148.87593904612526785058 155.18002230528912832597 -60202.95264377006242284551 1.24756577582800010084 93.78743297087864050354 5646280.38572656549513339996 193.59728492030438928850
  230.00 0.00001480632484897261 0.00000008356562748489 174.34007820775022423732 176.71207172185714284751 -66630.00930486635479610413 1.09266460722799996219 84.51745264440555160945 5631398.65612034220248460770 193.08702644040917562052
  235.00 0.00001378178593718614 0.00000006850251381695 203.51446037346019579672 200.63809625136426006975 -73597.93266272437176667154 0.95983098502800001661 76.31426522818000535153 5616572.15346887987107038498 192.57866155908962468857
  240.00 0.00001284762191517777 0.00000005639384560675 236.87927992035290003514 227.18182430234369917343 -81156.32130472676362842321 0.84545574367600007104 69.02482069110091345010 5601800.52600813750177621841 192.07217821520836764648
